,Unnamed: 0,tweet_id,retweet_count,favorite_count
0,0,892420643555336193,7010,33824
1,1,892177421306343426,5302,29337
2,2,891815181378084864,3482,22069
3,3,891689557279858688,7228,36950
4,4,891327558926688256,7764,35321
5,5,891087950875897856,2602,17815
6,6,890971913173991426,1666,10368
7,7,890729181411237888,15759,56880
8,8,890609185150312448,3624,24531
9,9,890240255349198849,6101,27969
10,10,890006608113172480,6154,27048
11,11,889880896479866881,4168,24570
12,12,889665388333682689,8353,42072
13,13,889638837579907072,3718,23683
14,14,889531135344209921,1884,13356
15,15,889278841981685760,4447,22132
16,16,888917238123831296,3765,25647
17,17,888804989199671297,3537,22481
18,18,888554962724278272,2879,17319
19,19,888078434458587136,2895,19155
20,20,887705289381826560,4535,26633
21,21,887517139158093824,9856,40740
22,22,887473957103951883,15031,60210
23,23,887343217045368832,8815,29598
24,24,887101392804085760,4992,26993
25,25,886983233522544640,6321,30396
26,26,886736880519319552,2632,10501
27,27,886680336477933568,3736,19740
28,28,886366144734445568,2631,18553
29,29,886267009285017600,4,105
30,30,886258384151887873,5293,24532
31,31,886054160059072513,93,0
32,32,885984800019947520,5617,28623
33,33,885528943205470208,5331,31611
34,34,885518971528720385,3108,18012
35,35,885311592912609280,15442,0
36,36,885167619883638784,3670,19264
37,37,884925521741709313,15032,67305
38,38,884876753390489601,4676,24388
39,39,884562892145688576,3913,21333
40,40,884441805382717440,4793,23874
41,41,884247878851493888,16931,63342
42,42,884162670584377345,2506,17947
43,43,883838122936631299,2865,19177
44,44,883482846933004288,8274,40220
45,45,883360690899218434,3083,19957
46,46,883117836046086144,5536,32525
47,47,882992080364220416,3248,20991
48,48,882762694511734784,4099,24804
49,49,882627270321602560,5064,24611
50,50,882268110199369728,9636,39210
51,51,882045870035918850,4084,25739
52,52,881906580714921986,2855,21451
53,53,881666595344535552,8963,44573
54,54,881633300179243008,8,113
55,55,881536004380872706,13404,43463
56,56,881268444196462592,4494,20492
57,57,880935762899988482,2333,15056
58,58,880872448815771648,3200,18718
59,59,880465832366813184,5215,25039
60,60,880221127280381952,3468,23678
61,61,880095782870896641,3654,24348
62,62,879862464715927552,2930,19718
63,63,879674319642796034,9,282
64,64,879492040517615616,2628,20716
65,65,879415818425184262,37463,92910
66,66,879376492567855104,2650,14867
67,67,879130579576475649,5743,0
68,68,879050749262655488,3957,19818
69,69,879008229531029506,2244,16787
70,70,878776093423087618,3435,17138
71,71,878604707211726852,5930,26443
72,72,878404777348136964,1078,0
73,73,878316110768087041,5531,0
74,74,878281511006478336,1078,6781
75,75,878057613040115712,5743,37155
76,76,877736472329191424,15814,69324
77,77,877611172832227328,70,0
78,78,877556246731214848,3169,19909
79,79,877316821321428993,4348,24168
80,80,877201837425926144,4629,23874
81,81,876838120628539392,2805,18221
82,82,876537666061221889,3974,21051
83,83,876484053909872640,2001,16574
84,84,876120275196170240,3905,24698
85,85,875747767867523072,3584,22119
86,86,875144289856114688,4158,19425
87,87,875097192612077568,5118,24248
88,88,875021211251597312,3974,22558
89,89,874680097055178752,3919,24609
90,90,874434818259525634,12218,0
91,91,874296783580663808,3483,22978
92,92,874057562936811520,3378,20127
93,93,874012996292530176,8596,30123
94,94,873580283840344065,3344,21387
95,95,873337748698140672,1331,0
